variant,variant_desc,threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
P3,p_abnormal + trust + uncertainty,0.62,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.63,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.64,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.65,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.66,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.67,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.68,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.69,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.7,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.71,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.72,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.73,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.74,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.75,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.76,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.77,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.78,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.79,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.8,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.81,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.82,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.83,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.84,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.85,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.86,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.87,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.88,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.89,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.9,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.91,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.92,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.93,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.94,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.95,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.96,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.97,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.98,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P3,p_abnormal + trust + uncertainty,0.99,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.01,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P4,P3 + HN-aware normal bank,0.02,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P4,P3 + HN-aware normal bank,0.03,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P4,P3 + HN-aware normal bank,0.04,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P4,P3 + HN-aware normal bank,0.05,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P4,P3 + HN-aware normal bank,0.06,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P4,P3 + HN-aware normal bank,0.07,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P4,P3 + HN-aware normal bank,0.08,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P4,P3 + HN-aware normal bank,0.09,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P4,P3 + HN-aware normal bank,0.1,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P4,P3 + HN-aware normal bank,0.11,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P4,P3 + HN-aware normal bank,0.12,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P4,P3 + HN-aware normal bank,0.13,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P4,P3 + HN-aware normal bank,0.14,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P4,P3 + HN-aware normal bank,0.15,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P4,P3 + HN-aware normal bank,0.16,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
P4,P3 + HN-aware normal bank,0.17,420,0,82,2,1.0,0.836653,0.02381,0.97619,0.0,1.0,0.837302,0.911063,0.996032,2,82,420,0
P4,P3 + HN-aware normal bank,0.18,420,0,69,15,1.0,0.858896,0.178571,0.821429,0.0,1.0,0.863095,0.924092,0.970238,15,69,420,0
P4,P3 + HN-aware normal bank,0.19,420,0,60,24,1.0,0.875,0.285714,0.714286,0.0,1.0,0.880952,0.933333,0.952381,24,60,420,0
P4,P3 + HN-aware normal bank,0.2,420,0,56,28,1.0,0.882353,0.333333,0.666667,0.0,1.0,0.888889,0.9375,0.944444,28,56,420,0
P4,P3 + HN-aware normal bank,0.21,419,1,51,33,0.997619,0.891489,0.392857,0.607143,0.002381,0.970588,0.896825,0.941573,0.93254,33,51,419,1
P4,P3 + HN-aware normal bank,0.22,419,1,46,38,0.997619,0.901075,0.452381,0.547619,0.002381,0.974359,0.906746,0.946893,0.922619,38,46,419,1
P4,P3 + HN-aware normal bank,0.23,419,1,46,38,0.997619,0.901075,0.452381,0.547619,0.002381,0.974359,0.906746,0.946893,0.922619,38,46,419,1
P4,P3 + HN-aware normal bank,0.24,419,1,44,40,0.997619,0.904968,0.47619,0.52381,0.002381,0.97561,0.910714,0.949037,0.918651,40,44,419,1
P4,P3 + HN-aware normal bank,0.25,418,2,43,41,0.995238,0.906725,0.488095,0.511905,0.004762,0.953488,0.910714,0.948922,0.914683,41,43,418,2
P4,P3 + HN-aware normal bank,0.26,417,3,43,41,0.992857,0.906522,0.488095,0.511905,0.007143,0.931818,0.90873,0.947727,0.912698,41,43,417,3
P4,P3 + HN-aware normal bank,0.27,416,4,42,42,0.990476,0.908297,0.5,0.5,0.009524,0.913043,0.90873,0.947608,0.90873,42,42,416,4
P4,P3 + HN-aware normal bank,0.28,415,5,40,44,0.988095,0.912088,0.52381,0.47619,0.011905,0.897959,0.910714,0.948571,0.902778,44,40,415,5
P4,P3 + HN-aware normal bank,0.29,415,5,37,47,0.988095,0.918142,0.559524,0.440476,0.011905,0.903846,0.916667,0.951835,0.896825,47,37,415,5
P4,P3 + HN-aware normal bank,0.3,415,5,36,48,0.988095,0.920177,0.571429,0.428571,0.011905,0.90566,0.918651,0.952928,0.894841,48,36,415,5
P4,P3 + HN-aware normal bank,0.31,415,5,32,52,0.988095,0.928412,0.619048,0.380952,0.011905,0.912281,0.926587,0.957324,0.886905,52,32,415,5
P4,P3 + HN-aware normal bank,0.32,414,6,31,53,0.985714,0.930337,0.630952,0.369048,0.014286,0.898305,0.926587,0.957225,0.882937,53,31,414,6
P4,P3 + HN-aware normal bank,0.33,414,6,30,54,0.985714,0.932432,0.642857,0.357143,0.014286,0.9,0.928571,0.958333,0.880952,54,30,414,6
P4,P3 + HN-aware normal bank,0.34,414,6,30,54,0.985714,0.932432,0.642857,0.357143,0.014286,0.9,0.928571,0.958333,0.880952,54,30,414,6
P4,P3 + HN-aware normal bank,0.35,412,8,28,56,0.980952,0.936364,0.666667,0.333333,0.019048,0.875,0.928571,0.95814,0.873016,56,28,412,8
P4,P3 + HN-aware normal bank,0.36,392,28,23,61,0.933333,0.944578,0.72619,0.27381,0.066667,0.685393,0.89881,0.938922,0.823413,61,23,392,28
P4,P3 + HN-aware normal bank,0.37,343,77,17,67,0.816667,0.952778,0.797619,0.202381,0.183333,0.465278,0.813492,0.879487,0.714286,67,17,343,77
P4,P3 + HN-aware normal bank,0.38,293,127,7,77,0.697619,0.976667,0.916667,0.083333,0.302381,0.377451,0.734127,0.813889,0.595238,77,7,293,127
P4,P3 + HN-aware normal bank,0.39,169,251,2,82,0.402381,0.988304,0.97619,0.02381,0.597619,0.246246,0.498016,0.571912,0.339286,82,2,169,251
P4,P3 + HN-aware normal bank,0.4,29,391,0,84,0.069048,1.0,1.0,0.0,0.930952,0.176842,0.224206,0.129176,0.05754,84,0,29,391
P4,P3 + HN-aware normal bank,0.41,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.42,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.43,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.44,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.45,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.46,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.47,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.48,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.49,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.5,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.51,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.52,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.53,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.54,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.55,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.56,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.57,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.58,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.59,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.6,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.61,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.62,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.63,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.64,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.65,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.66,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.67,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.68,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.69,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.7,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.71,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.72,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.73,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.74,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.75,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.76,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.77,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.78,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.79,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.8,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.81,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.82,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.83,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.84,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.85,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.86,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.87,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.88,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.89,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.9,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.91,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.92,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.93,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.94,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.95,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.96,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.97,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.98,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
P4,P3 + HN-aware normal bank,0.99,0,420,0,84,0.0,0.0,1.0,0.0,1.0,0.166667,0.166667,0.0,0.0,84,0,0,420
